JPT_SJR_KO,JPT_POWIER,JPT_KOD_JE,JPT_NAZWA_,Shape_Leng,Shape_Area,kod_woj,powiat_kod,gmina_rodz,X,Y
GMI,7260.000000000000000,"1207062",Laskowa,0.552064754430000,0.009045156470000,"12","1207","2",20.510622,49.760696
GMI,13137.000000000000000,"1217032",Bukowina Tatrzańska,1.023709663910000,0.016309326330000,"12","1217","2",20.118964,49.303465
GMI,14624.000000000000000,"1208053",Miechów,0.980451129850000,0.018737177750000,"12","1208","3",20.051779,50.358731
GMI,7412.000000000000000,"1209022",Lubień,0.530286201490000,0.009356261490000,"12","1209","2",19.951713,49.675604
GMI,15412.000000000000000,"1209033",Myślenice,1.029766618540000,0.019179628110000,"12","1209","3",19.954344,49.856082
GMI,13075.000000000000000,"1201022",Bochnia,1.552802413310000,0.016405281450000,"12","1201","2",20.384012,49.992539
GMI,20678.000000000000000,"1211092",Nowy Targ,1.452594523980000,0.025774326000000,"12","1211","2",20.145441,49.482113
GMI,4064.000000000000000,"1212032",Bolesław,0.482356400460000,0.005143068270000,"12","1212","2",19.475469,50.301170
GMI,9257.000000000000000,"1215052",Jordanów,1.055386768110000,0.011514330700000,"12","1215","2",19.811471,49.680289
GMI,7417.000000000000000,"1213062",Oświęcim,1.035435214620000,0.009383743470000,"12","1213","2",19.289409,50.014584
GMI,8604.000000000000000,"1216053",Radłów,0.640834204090000,0.010830773330000,"12","1216","3",20.815890,50.106164
GMI,8277.000000000000000,"1216092",Tarnów,1.032360237660000,0.010372089020000,"12","1216","2",20.948691,49.966715
GMI,4588.000000000000000,"1218072",Stryszów,0.501363310140000,0.005736479600000,"12","1218","2",19.637322,49.831112
GMI,7754.000000000000000,"1204052",Olesno,0.577930802350000,0.009773101710000,"12","1204","2",20.922774,50.207838
